Id de empleado,Fecha y hora de interacci�n,Id del caso,Tipo de interacci�n,Id de cliente,Raz�n del reclamo,Cr�dito otorgado (USD)
EMP0068,2/22/2025 19:39,CASE042144,chat,CL63725,Incumplimiento de garantía,20.9
EMP0024,1/15/2025 21:22,CASE001723,chat,CL14929,Cobro duplicado,36.38
EMP0002,3/20/2025 02:23,CASE011255,chat,CL70372,Error en la facturación,19.74
EMP0269,3/21/2025 11:00,CASE029798,chat,CL60648,Producto defectuoso,45.9
EMP0193,1/21/2025 04:28,CASE044844,teléfono,CL87533,Cobro duplicado,48.63
EMP0028,2/9/2025 05:26,CASE028423,teléfono,CL64859,Incumplimiento de garantía,22.19
EMP0036,3/11/2025 03:57,CASE007772,teléfono,CL64891,Cobro duplicado,37.07
EMP0033,3/9/2025 04:42,CASE043876,teléfono,CL77814,Error en la facturación,44.1
EMP0063,1/31/2025 02:38,CASE004827,teléfono,CL85108,Cobro duplicado,48.31
EMP0181,3/11/2025 20:27,CASE011180,chat,CL37740,Error en la facturación,16.51
EMP0139,1/22/2025 01:21,CASE003717,chat,CL66272,Producto defectuoso,5.6
EMP0052,1/20/2025 11:13,CASE023355,chat,CL70777,Incumplimiento de garantía,48.64
EMP0048,1/28/2025 12:49,CASE034681,chat,CL51208,Producto no recibido,27.99
EMP0246,2/18/2025 05:19,CASE016681,chat,CL77970,Incumplimiento de garantía,23
EMP0155,3/6/2025 22:48,CASE047882,teléfono,CL71185,Cobro duplicado,32.3
EMP0155,3/6/2025 19:13,CASE038465,chat,CL67357,Producto no recibido,33.93
EMP0023,1/16/2025 02:06,CASE004800,chat,CL83183,Producto defectuoso,41.72
EMP0030,2/12/2025 22:05,CASE038510,teléfono,CL94694,Cobro duplicado,17.3
EMP0193,1/30/2025 09:31,CASE012646,chat,CL75422,Producto defectuoso,43.42
EMP0265,1/20/2025 08:52,CASE012841,teléfono,CL49158,Producto no recibido,27.91
EMP0167,3/7/2025 06:38,CASE043806,teléfono,CL57424,Incumplimiento de garantía,31.79
EMP0280,3/26/2025 14:25,CASE008455,teléfono,CL47784,Producto no recibido,22.28
EMP0234,3/27/2025 09:49,CASE034285,chat,CL60763,Incumplimiento de garantía,12.65
EMP0095,1/18/2025 11:20,CASE037445,teléfono,CL54884,Producto defectuoso,11.42
EMP0109,3/8/2025 13:14,CASE015990,chat,CL61944,Producto defectuoso,36.8
EMP0145,3/2/2025 01:45,CASE001331,teléfono,CL49608,Producto no recibido,22.36
EMP0191,3/28/2025 07:25,CASE035746,chat,CL75667,Cobro duplicado,36.48
EMP0191,2/7/2025 15:41,CASE020591,teléfono,CL42532,Incumplimiento de garantía,31.92
EMP0033,1/27/2025 00:31,CASE037764,teléfono,CL21163,Incumplimiento de garantía,24.36
EMP0278,1/2/2025 08:11,CASE040757,chat,CL77383,Producto no recibido,42.88
