Id de empleado,Fecha y hora de interacción,Id del caso,Tipo de interacci�n,Id de cliente,Cola,Tipo de cliente,Duraci�n
EMP0143,3/8/2025 20:08,CASE000001,teléfono,CL93810,post-venta,vendedor,690
EMP0067,1/26/2025 13:57,CASE000002,chat,CL24592,post-venta,vendedor,717
EMP0126,3/12/2025 00:12,CASE000003,teléfono,CL13278,reclamos,comprador,516
EMP0145,3/6/2025 06:31,CASE000004,chat,CL46048,reclamos,vendedor,595
EMP0203,3/17/2025 17:23,CASE000005,chat,CL42098,pre-venta,comprador,842
EMP0253,2/20/2025 16:09,CASE000006,teléfono,CL39256,reclamos,vendedor,511
EMP0110,1/9/2025 06:12,CASE000007,teléfono,CL28289,pre-venta,vendedor,395
EMP0148,1/7/2025 08:54,CASE000008,teléfono,CL23434,reclamos,comprador,765
EMP0127,1/20/2025 08:05,CASE000009,teléfono,CL98696,pre-venta,vendedor,736
EMP0121,3/14/2025 09:57,CASE000010,teléfono,CL81482,pre-venta,vendedor,545
EMP0031,2/24/2025 00:02,CASE000011,teléfono,CL21395,post-venta,comprador,586
EMP0273,1/17/2025 21:34,CASE000012,teléfono,CL87397,post-venta,comprador,453
EMP0041,3/1/2025 04:12,CASE000013,teléfono,CL65302,pre-venta,comprador,610
EMP0204,1/23/2025 17:27,CASE000014,chat,CL14165,reclamos,comprador,739
EMP0049,1/8/2025 09:27,CASE000015,chat,CL13905,pre-venta,vendedor,534
EMP0090,2/24/2025 16:35,CASE000016,teléfono,CL22280,pre-venta,vendedor,705
EMP0228,1/16/2025 05:28,CASE000017,chat,CL38657,post-venta,comprador,655
EMP0032,2/9/2025 03:17,CASE000018,teléfono,CL40495,pre-venta,comprador,669
EMP0179,3/27/2025 22:46,CASE000019,teléfono,CL76237,pre-venta,comprador,541
EMP0197,2/17/2025 00:45,CASE000020,teléfono,CL88907,post-venta,vendedor,557
EMP0235,3/19/2025 08:42,CASE000021,chat,CL13478,post-venta,vendedor,378
EMP0294,3/23/2025 00:37,CASE000022,teléfono,CL83563,reclamos,comprador,531
EMP0077,3/14/2025 03:43,CASE000023,teléfono,CL36062,pre-venta,vendedor,739
EMP0275,1/9/2025 20:02,CASE000024,teléfono,CL95181,reclamos,comprador,488
EMP0262,3/4/2025 18:51,CASE000025,chat,CL81426,reclamos,vendedor,506
EMP0122,3/18/2025 08:25,CASE000026,teléfono,CL64987,post-venta,comprador,676
EMP0124,1/29/2025 04:01,CASE000027,teléfono,CL38893,pre-venta,vendedor,648
EMP0045,2/20/2025 18:14,CASE000028,chat,CL68878,reclamos,vendedor,682
EMP0016,3/27/2025 15:59,CASE000029,chat,CL87236,post-venta,comprador,460
EMP0210,3/8/2025 13:24,CASE000030,chat,CL46463,pre-venta,vendedor,907
EMP0160,1/2/2025 09:23,CASE000031,teléfono,CL10851,pre-venta,vendedor,454
EMP0285,2/8/2025 01:41,CASE000032,chat,CL30926,reclamos,comprador,618
EMP0052,2/27/2025 09:22,CASE000033,chat,CL65392,post-venta,comprador,580
EMP0081,3/13/2025 18:15,CASE000034,chat,CL54597,post-venta,comprador,457
EMP0285,1/14/2025 19:01,CASE000035,teléfono,CL46421,pre-venta,vendedor,555
EMP0068,3/23/2025 18:50,CASE000036,chat,CL30379,post-venta,comprador,602
EMP0044,1/4/2025 14:44,CASE000037,teléfono,CL38221,reclamos,vendedor,522
EMP0281,1/4/2025 05:35,CASE000038,teléfono,CL54118,reclamos,comprador,712
EMP0150,2/7/2025 16:43,CASE000039,teléfono,CL23396,reclamos,vendedor,580
EMP0170,2/4/2025 18:59,CASE000040,teléfono,CL22156,reclamos,comprador,439
EMP0075,1/11/2025 06:19,CASE000041,chat,CL59797,pre-venta,comprador,428
EMP0008,2/1/2025 00:50,CASE000042,chat,CL22676,pre-venta,comprador,672
EMP0172,3/1/2025 20:22,CASE000043,teléfono,CL57052,pre-venta,vendedor,421
EMP0125,3/1/2025 00:48,CASE000044,teléfono,CL55082,pre-venta,vendedor,637
EMP0214,1/10/2025 07:07,CASE000045,teléfono,CL89131,pre-venta,comprador,653
EMP0283,2/19/2025 01:06,CASE000046,chat,CL44671,pre-venta,comprador,480
EMP0139,3/21/2025 18:26,CASE000047,chat,CL15695,pre-venta,vendedor,706
EMP0155,3/15/2025 04:27,CASE000048,chat,CL70217,reclamos,comprador,393
EMP0135,1/6/2025 22:56,CASE000049,teléfono,CL80284,reclamos,vendedor,635
EMP0185,1/20/2025 09:54,CASE000050,teléfono,CL26361,pre-venta,comprador,595
EMP0217,2/28/2025 17:43,CASE000051,chat,CL59615,pre-venta,vendedor,585
EMP0167,3/11/2025 07:44,CASE000052,chat,CL20328,pre-venta,vendedor,458
EMP0277,2/4/2025 02:19,CASE000053,teléfono,CL82357,reclamos,vendedor,487
EMP0090,2/7/2025 10:05,CASE000054,chat,CL48427,post-venta,vendedor,794
EMP0219,3/18/2025 03:40,CASE000055,teléfono,CL92397,pre-venta,comprador,745
EMP0179,3/13/2025 13:40,CASE000056,teléfono,CL91070,pre-venta,vendedor,689
EMP0109,1/11/2025 01:56,CASE000057,teléfono,CL57400,pre-venta,vendedor,712
EMP0117,2/12/2025 07:49,CASE000058,chat,CL85674,post-venta,vendedor,701
EMP0273,1/17/2025 22:35,CASE000059,chat,CL35203,reclamos,comprador,561
EMP0106,1/31/2025 18:55,CASE000060,chat,CL19116,post-venta,comprador,605
EMP0284,1/17/2025 04:31,CASE000061,chat,CL16006,post-venta,vendedor,423
EMP0231,3/21/2025 00:14,CASE000062,teléfono,CL96673,pre-venta,comprador,589
EMP0147,1/18/2025 02:36,CASE000063,teléfono,CL39871,reclamos,vendedor,742
EMP0021,1/10/2025 05:16,CASE000064,chat,CL47930,pre-venta,vendedor,520
EMP0276,3/19/2025 10:59,CASE000065,chat,CL20458,pre-venta,comprador,722
EMP0172,1/14/2025 12:14,CASE000066,teléfono,CL40512,reclamos,vendedor,610
EMP0031,1/10/2025 22:19,CASE000067,chat,CL23238,reclamos,comprador,433
EMP0009,1/16/2025 04:14,CASE000068,chat,CL59823,post-venta,vendedor,467
EMP0032,1/3/2025 23:29,CASE000069,teléfono,CL46434,pre-venta,comprador,710
EMP0202,3/27/2025 03:12,CASE000070,chat,CL69429,reclamos,vendedor,666
EMP0180,3/23/2025 16:13,CASE000071,teléfono,CL93320,pre-venta,comprador,612
EMP0197,1/6/2025 01:42,CASE000072,chat,CL57819,post-venta,comprador,567
EMP0205,3/7/2025 16:36,CASE000073,chat,CL31319,pre-venta,vendedor,625
EMP0027,2/5/2025 06:45,CASE000074,teléfono,CL58520,reclamos,vendedor,705
