Id de empleado,Fecha y hora de interacci�n,Id del caso,Tipo de interacción,Id de cliente,Cola,Tipo de cliente,Raz�n de terminaci�n de la interacci�n
EMP0017,1/14/2025 18:47,CASE040317,teléfono,CL11261,reclamos,comprador,terminado por el cliente
EMP0167,1/29/2025 11:19,CASE010600,chat,CL21941,reclamos,vendedor,terminado por el cliente
EMP0143,1/8/2025 09:25,CASE032550,teléfono,CL95911,pre-venta,vendedor,falla
EMP0025,1/8/2025 08:09,CASE038710,teléfono,CL29218,post-venta,vendedor,colgado por el agente
EMP0252,2/13/2025 16:12,CASE040563,chat,CL69022,post-venta,vendedor,falla
EMP0021,3/29/2025 10:37,CASE041789,teléfono,CL36277,reclamos,vendedor,colgado por el agente
EMP0180,1/11/2025 23:10,CASE010383,teléfono,CL84890,reclamos,vendedor,colgado por el agente
EMP0027,3/7/2025 01:05,CASE028959,chat,CL45125,post-venta,vendedor,terminado por el cliente
EMP0042,3/6/2025 18:08,CASE027438,teléfono,CL36216,post-venta,vendedor,falla
EMP0200,1/14/2025 08:08,CASE041967,chat,CL92970,reclamos,vendedor,colgado por el agente
EMP0183,3/27/2025 08:29,CASE002974,chat,CL82443,pre-venta,vendedor,terminado por el cliente
EMP0282,2/16/2025 20:49,CASE018435,teléfono,CL39536,post-venta,vendedor,falla
EMP0242,1/13/2025 12:45,CASE043815,teléfono,CL64026,post-venta,vendedor,colgado por el agente
EMP0083,1/5/2025 05:11,CASE040744,teléfono,CL67981,pre-venta,comprador,colgado por el agente
EMP0218,1/21/2025 01:25,CASE044705,chat,CL77878,post-venta,vendedor,terminado por el cliente
EMP0146,3/4/2025 13:51,CASE014218,chat,CL60870,post-venta,comprador,falla
EMP0200,2/5/2025 07:13,CASE045604,chat,CL96120,post-venta,vendedor,terminado por el cliente
EMP0089,2/17/2025 12:29,CASE021076,teléfono,CL26972,reclamos,comprador,terminado por el cliente
EMP0236,2/6/2025 06:56,CASE003801,teléfono,CL40539,reclamos,comprador,falla
EMP0015,3/16/2025 00:44,CASE014784,teléfono,CL72320,reclamos,comprador,falla
EMP0259,2/1/2025 17:28,CASE040296,teléfono,CL57262,reclamos,comprador,terminado por el cliente
EMP0234,2/23/2025 03:49,CASE025140,chat,CL67965,reclamos,comprador,colgado por el agente
EMP0227,2/5/2025 09:20,CASE044069,teléfono,CL56976,pre-venta,comprador,terminado por el cliente
EMP0166,2/8/2025 06:06,CASE008355,teléfono,CL28220,pre-venta,vendedor,falla
EMP0232,1/27/2025 11:58,CASE032729,teléfono,CL54747,reclamos,comprador,falla
EMP0131,1/16/2025 03:43,CASE048123,teléfono,CL37612,post-venta,comprador,falla
EMP0181,3/5/2025 03:57,CASE011090,chat,CL10951,post-venta,comprador,falla
EMP0283,1/18/2025 19:50,CASE045503,chat,CL31838,pre-venta,vendedor,falla
EMP0255,3/29/2025 10:48,CASE044823,chat,CL86610,pre-venta,vendedor,terminado por el cliente
EMP0104,3/28/2025 01:53,CASE032898,teléfono,CL80314,reclamos,comprador,colgado por el agente
EMP0030,3/24/2025 08:24,CASE005626,teléfono,CL88311,reclamos,vendedor,falla
EMP0035,1/25/2025 01:44,CASE022510,chat,CL89121,post-venta,comprador,colgado por el agente
EMP0061,2/21/2025 08:07,CASE009126,chat,CL86486,reclamos,vendedor,falla
EMP0277,1/26/2025 02:02,CASE019868,teléfono,CL80120,pre-venta,comprador,terminado por el cliente
EMP0025,3/25/2025 14:38,CASE005984,chat,CL83922,reclamos,comprador,falla
EMP0011,2/8/2025 02:00,CASE033291,teléfono,CL57052,pre-venta,comprador,falla
EMP0023,1/30/2025 03:35,CASE008456,teléfono,CL83024,post-venta,vendedor,terminado por el cliente
EMP0179,3/19/2025 13:16,CASE044088,chat,CL90259,pre-venta,vendedor,terminado por el cliente
EMP0045,3/22/2025 16:14,CASE009090,chat,CL16975,post-venta,vendedor,falla
EMP0021,1/6/2025 10:09,CASE017823,teléfono,CL17321,reclamos,comprador,terminado por el cliente
EMP0210,2/19/2025 03:29,CASE036750,chat,CL50640,post-venta,vendedor,terminado por el cliente
EMP0210,3/11/2025 13:35,CASE044490,teléfono,CL64319,pre-venta,vendedor,terminado por el cliente
EMP0181,1/10/2025 01:05,CASE012729,chat,CL59074,reclamos,vendedor,terminado por el cliente
EMP0037,3/23/2025 08:54,CASE031538,chat,CL12686,reclamos,vendedor,colgado por el agente
EMP0175,3/18/2025 04:28,CASE026685,teléfono,CL22119,reclamos,vendedor,terminado por el cliente
EMP0058,1/20/2025 01:41,CASE037949,teléfono,CL32664,pre-venta,vendedor,colgado por el agente
EMP0051,1/20/2025 02:06,CASE044457,chat,CL32778,pre-venta,vendedor,colgado por el agente
EMP0121,2/16/2025 07:59,CASE014138,chat,CL16741,reclamos,vendedor,falla
EMP0145,1/12/2025 13:14,CASE026427,chat,CL24543,post-venta,vendedor,terminado por el cliente
EMP0291,2/12/2025 07:36,CASE006558,teléfono,CL73525,reclamos,comprador,colgado por el agente
EMP0100,2/18/2025 10:59,CASE003481,teléfono,CL86278,pre-venta,comprador,terminado por el cliente
EMP0192,3/12/2025 04:24,CASE049999,chat,CL21453,reclamos,comprador,colgado por el agente
EMP0022,1/30/2025 03:54,CASE022062,teléfono,CL11921,reclamos,comprador,falla
EMP0211,2/24/2025 02:36,CASE013242,chat,CL31842,reclamos,comprador,falla
EMP0128,3/9/2025 14:21,CASE002221,chat,CL54252,post-venta,comprador,terminado por el cliente
EMP0183,3/19/2025 07:31,CASE024031,teléfono,CL31443,reclamos,vendedor,falla
EMP0188,2/25/2025 16:42,CASE017558,chat,CL11572,reclamos,comprador,colgado por el agente
EMP0029,1/10/2025 11:08,CASE024274,chat,CL60510,pre-venta,vendedor,terminado por el cliente
EMP0260,1/21/2025 09:32,CASE005781,teléfono,CL80879,pre-venta,vendedor,colgado por el agente
EMP0087,1/14/2025 02:06,CASE032366,teléfono,CL91139,post-venta,comprador,terminado por el cliente
EMP0228,1/2/2025 03:49,CASE037585,teléfono,CL17024,pre-venta,vendedor,terminado por el cliente
EMP0110,2/6/2025 20:56,CASE038687,chat,CL51691,reclamos,comprador,colgado por el agente
EMP0151,1/7/2025 05:31,CASE002167,teléfono,CL63665,post-venta,comprador,colgado por el agente
EMP0232,1/2/2025 12:24,CASE029265,chat,CL47396,post-venta,comprador,falla
EMP0130,2/26/2025 05:13,CASE024281,chat,CL97027,reclamos,comprador,terminado por el cliente
EMP0007,1/23/2025 07:58,CASE026615,chat,CL69432,reclamos,vendedor,colgado por el agente
EMP0237,2/24/2025 23:24,CASE011722,chat,CL96066,pre-venta,comprador,terminado por el cliente
EMP0120,1/11/2025 21:41,CASE023286,teléfono,CL40614,reclamos,comprador,colgado por el agente
EMP0025,3/26/2025 17:04,CASE010690,teléfono,CL11469,pre-venta,vendedor,colgado por el agente
EMP0127,1/7/2025 10:24,CASE026360,teléfono,CL29850,pre-venta,comprador,falla
EMP0123,2/18/2025 03:55,CASE031868,chat,CL59805,post-venta,comprador,terminado por el cliente
EMP0130,3/20/2025 04:07,CASE037428,teléfono,CL21289,post-venta,comprador,falla
EMP0133,3/7/2025 07:10,CASE026370,teléfono,CL84873,pre-venta,vendedor,colgado por el agente
EMP0117,2/21/2025 17:57,CASE006627,teléfono,CL78656,pre-venta,vendedor,falla
EMP0252,3/6/2025 03:27,CASE014895,chat,CL18169,reclamos,vendedor,colgado por el agente
EMP0154,3/1/2025 10:50,CASE013263,teléfono,CL10131,pre-venta,comprador,colgado por el agente
